screen_name,Source,tweets,time_stamp
1498645645527515139,Africa,"Red chilly, Red chilly whole, Grounded Red chilly, Organic spice, Healing spice, Indian spice, Natural spice https://t.co/irL9TGO4EL via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:52:10+00:00
1498645645527515139,Africa,"Turmeric, Whole turmeric, Grounded turmeric, Healing spice, Antiseptic herb, Curry powder https://t.co/Ya3jiR16ZC via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:52:00+00:00
1498645645527515139,Africa,"Coriander, Whole Coriander, Grounded Coriander, Organic spice, Healing spice, Indian spice https://t.co/sAyFoqqKYk via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:51:47+00:00
1498645645527515139,Africa,"Natural curry leaves, Dried Curry Leaves, Authentic Indian Cooking spices, Premium Quality, Herbs and Spices, Fresh dried curry leaves. https://t.co/ylCy8smgvm via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamons",2022-11-04 03:51:35+00:00
1053672844075393027,Africa,@Antonio_Tajani The international community needs not to support dictators who are going to build a worse North Korean state in #Africa . I hate to see the Italian ambassador in cordial relations with a murderous dictator's son who is destroying our country #Uganda. #Kunga #Uganda #Congo https://t.co/DN5URbI8cj https://t.co/0vB5RPwdzO,2022-11-04 03:51:30+00:00
1498645645527515139,Africa,Organic Pomegranate Seeds | Best Anardana | Dry Pomegranate Candy | Wild Pomegranate | Daru | Anardana Seed | Digestive spices | Gummy Candy https://t.co/EWqEFmb8GN via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinn,2022-11-04 03:51:16+00:00
1498645645527515139,Africa,"Indian Black cardamom, Cardamom powder, Best Quality of black Cardamom ,Natural spice, Organic spice https://t.co/rL0VbepUMJ via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:50:54+00:00
1498645645527515139,Africa,"Black salt ,Black salt whole, Grounded Black salt, Organic spice, Healing spice, Indian spice, Natural spice https://t.co/0r3TuDKL9n via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:50:12+00:00
1498645645527515139,Africa,"natural Jaggery, jaggery rock, Indian jaggery, Jaggery powder, Sugarcane jaggery, Non GMO jaggery. https://t.co/TxxfJwo6LB via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:49:36+00:00
1498645645527515139,Africa,Herbal White Pepper | White Peppercorns | Whole &amp; Ground Pepper | Piper Nigrum | Natural Indian Spices | Ayurvedic Herb | Healthy https://t.co/1h2hM7XZ2G via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks,2022-11-04 03:49:20+00:00
